County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Macon,02092,0,1,0,4.17,4.17,2023,555,2314.35,11,65,96,3,1,5602092001,62,56000062,2.624,1.065,1,22100.9527668799
Macon,02097,0,1,0,6.3,6.3,2023,342,2154.6,12,55,99,1,0,5602097001,72,56000072,0,0,2,33296.0103986648
Polk,SR033,0,1,9.82,12.075,2.255,2023,10301,23228.755,8,65,91,3,6,70SR033001,28,70000028,2.919,6.217,3,11975.5818847373
McNairy,00878,0,1,0,2.61,2.61,2023,2323,6063.03,8,65,97,2,1,5500878001,96,55000096,2.624,1.065,4,13821.8318799636
Bradley,SR313,0,1,0.73,6.01,5.28,2023,3048,16093.44,10,65,97,2,1,06SR313001,134,06000134,1.017,0,5,27894.6489895574
Polk,SR033,0,1,4.59,9.82,5.23,2023,5454,28524.42,9,53,91,3,6,70SR033001,27,70000027,2.439,5.081,6,27538.189087712
Bradley,SR317,0,1,2.23,3.59,1.36,2023,1053,1432.08,9,56,97,2,1,06SR317001,50,06000050,2.062,1.031,7,7166.08698150109
McNairy,00887,0,1,0,5.15,5.15,2023,2416,12442.4,10,65,97,2,1,5500887001,42,55000042,2.624,1.065,8,27182.7450163144
Rhea,SR060,0,1,0.24,3.77,3.53,2023,5529,19517.37,9,55,95,2,3,72SR060001,101,72000101,0.577,2.692,9,18670.1753942761
Rhea,SR060,0,1,3.77,5.39,1.62,2023,6175,10003.5,9,65,90,3,7,72SR060001,104,72000104,3.176,7.937,10,8514.07511314746
Polk,SR033,0,1,15.69,21.7,6.01,2023,7689,46210.89,10,54,91,3,6,70SR033001,18,70000018,1.695,3.148,11,31716.8307919968
McNairy,01422,0,1,0,9.81,9.81,2023,575,5640.75,9,65,97,2,1,5501422001,89,55000089,2.624,1.065,12,51801.289699786
