Feature,Count,NumMissing,PctMissing,Mean,Std,Min,Pct_25,Median,Pct_75,Max
Zipcode,42522,0,0.0,,,,,,,
State,42522,0,0.0,,,,,,,
Zip Town State,39623,2899,6.82,,,,,,,
State_Full,39623,2899,6.82,,,,,,,
County,41672,850,2.0,,,,,,,
FIPS,40572,1950,4.59,,,,,,,
RUCC_2013,40572,1950,4.59,3.53766144138814,2.57009617113718,1.0,1.0,3.0,6.0,9.0
Demo_Pop_Male_Vol,32669,9853,23.17,4969.56399032722,7281.97616665162,1.0,378.0,1463.0,6803.0,61238.0
Demo_Pop_Female_Vol,32645,9877,23.23,5129.49483841323,7601.61903549505,1.0,368.0,1447.0,6996.0,65072.0
Demo_Pop_Millennials_(25-44)_Vol,31935,10587,24.9,2744.09563175199,4352.2997239192,1.0,169.0,686.0,3491.5,44509.0
Demo_Pop_GenX_(45-59)_Vol,32014,10508,24.71,1998.05710001874,2873.88443633366,1.0,162.0,627.0,2773.0,26368.0
Demo_Pop_Boomers_(60-74)_Vol,32054,10468,24.62,1604.80511012666,2178.66995861099,1.0,154.0,562.0,2301.5,30569.0
Demo_Pop_Low_Income_(<$49k)_Vol,32063,10459,24.6,1520.7016810654,2286.0543684609,1.0,137.5,479.0,1960.0,23964.0
Demo_Pop_Middle_Income_($50k-$149k)_Vol,32044,10478,24.64,1747.08728623143,2528.23221095308,1.0,139.0,539.0,2351.0,23611.0
Demo_Communting_DriveAlone_Vol,32307,10215,24.02,3589.19367319775,5319.40787100979,1.0,254.0,1036.0,4827.5,49336.0
Demo_Commute_Time_Minutes_Vol,32749,9773,22.98,24.8059574338147,10.2306431484653,0.0,20.4,25.4,30.6,110.1
Demo_Pop25yo+_Edu_HighSchool_Vol,32215,10307,24.24,1864.72506596306,2621.43782385817,1.0,196.0,702.0,2509.0,32199.0
Demo_Owner_Occupied_Housing_Vol,32246,10276,24.17,2468.99500713266,3366.57156958113,1.0,235.25,872.0,3507.75,29944.0
Demo_Total_Pop_2010_Vol,41366,1156,2.72,10550020.5342793,9573052.49162932,563626.0,3831074.0,6547629.0,12830632.0,37253956.0
Demo_Projected_Pop_2020_Vol,41366,1156,2.72,11414787.8853406,10647229.2136134,585380.0,4267534.0,7268694.0,12844885.0,40438640.0
Demo_Projected_Pop_2030_Vol,41366,1156,2.72,12347192.884712,11881263.5494754,605972.0,4648190.0,8238407.0,12946245.0,43751116.0
Demo_Projected_Pop_2040_Vol,41366,1156,2.72,13151109.4425131,13096265.3753147,601865.0,4714761.0,9166279.0,12809150.0,46467001.0
Demo_Pop_Growth_2010-20_Vol,41366,1156,2.72,0.0675262292704153,0.0560500801438761,-0.03,0.03,0.05,0.11,0.18
Demo_Projected_Pop_Growth_2020-30_Vol,41366,1156,2.72,0.0628141468839143,0.0554504002813623,-0.03,0.02,0.04,0.1,0.17
Demo_Projected_Pop_Growth_2030-40_Vol,41366,1156,2.72,0.043782333317217,0.0545128677747967,-0.05,0.0,0.02,0.08,0.15
Demo_Total_households_Vol,32364,10158,23.89,3780.44975899147,5406.18191647739,1.0,295.0,1126.0,5227.0,41335.0
