Row Labels,Average battery capacity
Abarth,44.3
Aiways,60
Alfa,50.8
Alpine,52
Audi,85.14814815
BMW,83.87894737
BYD,74.74714286
Cadillac,102
Citroen,50.56428571
CUPRA,73.8
Dacia,25
Dongfeng,34.5
DS,79.8
Elaris,81
Fiat,33.8
Ford,74.84285714
Genesis,75.7
GWM,62.68333333
Honda,61.9
Hongqi,92.83333333
Hyundai,72.48571429
Jaguar,84.7
Jeep,50.8
KGM,72
Kia,76.9
Lancia,48.1
Leapmotor,52.95
Lexus,64
Lotus,103.95
Lucid,98.66666667
Lynk&Co,66
Maserati,87
Maxus,84
Mazda,57
Mercedes-Benz,89.00769231
MG,63.175
Mini,50.1375
NIO,81.75
Nissan,64
Omoda,61
Opel,55.32857143
Peugeot,61.35263158
Polestar,90.44444444
Porsche,93.86538462
Renault,52.9
Rolls-Royce,102
Skoda,68.22222222
Skywell,74.5
Smart,57.90909091
SsangYong,56
Subaru,64
Tesla,78.21428571
Toyota,58.61428571
VinFast,99.46666667
Volkswagen,75.59090909
Volvo,78.57142857
Voyah,100
XPENG,83.45555556
Zeekr,83.625
(blank),
Grand Total,73.86004454
